exp_type,pattern,K,trial,seed,success,time_sec,waypoints,path_len_total,path_len_max_per_drone
complexity,empty,3,0,1234,1,1.025483,4,190.757065,65.274723
complexity,empty,3,1,1235,1,1.358562,3,190.253751,65.058104
complexity,empty,3,2,1236,1,1.349049,3,190.430112,65.098897
complexity,empty,3,3,1237,1,1.369260,3,190.253010,65.063299
complexity,empty,3,4,1238,1,1.236903,4,190.186375,65.053825
complexity,sparse,3,0,1234,1,1.081252,5,203.018109,68.177223
complexity,sparse,3,1,1235,1,1.006836,6,193.537427,65.974858
complexity,sparse,3,2,1236,1,0.804780,6,196.312713,66.341622
complexity,sparse,3,3,1237,1,1.195528,4,191.086097,65.338322
complexity,sparse,3,4,1238,1,0.934723,4,194.241693,66.602236
complexity,medium,3,0,1234,1,1.395618,3,198.187363,67.559727
complexity,medium,3,1,1235,1,1.179224,4,198.620111,67.841868
complexity,medium,3,2,1236,1,1.361606,5,194.285920,66.324536
complexity,medium,3,3,1237,1,0.924104,5,192.559789,65.795586
complexity,medium,3,4,1238,1,1.268888,3,191.959799,65.587204
complexity,narrow,3,0,1234,0,0.898421,4,194.897483,66.543827
complexity,narrow,3,1,1235,1,1.069609,6,207.891639,70.874395
complexity,narrow,3,2,1236,1,0.807211,5,193.630163,66.255438
complexity,narrow,3,3,1237,1,1.079462,4,194.180665,66.438030
complexity,narrow,3,4,1238,1,1.100873,4,194.745857,66.384515
complexity,cluttered,3,0,1234,1,1.056695,4,190.757065,65.274723
complexity,cluttered,3,1,1235,1,1.400143,3,190.253751,65.058104
complexity,cluttered,3,2,1236,1,1.409141,3,190.430112,65.098897
complexity,cluttered,3,3,1237,1,1.412987,3,190.253010,65.063299
complexity,cluttered,3,4,1238,1,1.234935,4,190.186375,65.053825
