exp_type,pattern,K,trial,seed,success,time_sec,waypoints,path_len_total,path_len_max_per_drone
complexity,empty,3,0,1234,0,8.560214,5,241.399890,81.520819
complexity,empty,3,1,1235,1,25.227995,5,298.792128,103.205304
complexity,empty,3,2,1236,1,13.048392,7,320.690622,110.862071
complexity,empty,3,3,1237,1,8.597191,6,275.268228,101.620081
complexity,empty,3,4,1238,1,15.586466,6,296.136269,106.269477
complexity,sparse,3,0,1234,0,4.499086,6,224.572980,77.725646
complexity,sparse,3,1,1235,0,11.126882,5,253.480210,88.754413
complexity,sparse,3,2,1236,0,12.820802,5,241.790488,85.520400
complexity,sparse,3,3,1237,0,14.336833,4,246.965653,88.352740
complexity,sparse,3,4,1238,0,5.345172,6,276.653536,103.310731
complexity,medium,3,0,1234,0,8.458936,6,217.287540,74.233924
complexity,medium,3,1,1235,1,7.851513,6,252.104028,89.297599
complexity,medium,3,2,1236,1,4.052173,7,269.153876,93.299031
complexity,medium,3,3,1237,0,7.292605,6,263.031949,90.212411
complexity,medium,3,4,1238,0,12.758888,6,301.232604,110.330390
complexity,narrow,3,0,1234,0,2.746674,5,247.950297,86.962347
complexity,narrow,3,1,1235,1,13.156807,5,259.011839,96.558338
complexity,narrow,3,2,1236,1,4.726911,7,299.556416,102.553520
complexity,narrow,3,3,1237,0,6.560847,5,266.736299,92.360662
complexity,narrow,3,4,1238,0,25.646148,7,317.656936,109.418522
complexity,cluttered,3,0,1234,1,6.178980,5,271.022765,95.546386
complexity,cluttered,3,1,1235,1,16.838007,6,260.063613,90.761692
complexity,cluttered,3,2,1236,0,30.010620,0,,
complexity,cluttered,3,3,1237,0,15.661318,5,311.027690,109.707438
complexity,cluttered,3,4,1238,0,7.770074,4,273.910336,94.520969
