exp_type,pattern,K,trial,seed,success,time_sec,waypoints,path_len_total,path_len_max_per_drone
complexity,sparse,3,0,1234,1,5.384301,8,282.903340,101.905430
complexity,sparse,3,1,1235,0,11.113674,5,284.147234,105.811934
complexity,sparse,3,2,1236,1,21.932547,5,302.631661,107.269148
complexity,sparse,3,3,1237,1,9.204568,6,271.573753,97.933218
complexity,sparse,3,4,1238,0,8.804442,6,258.832080,88.880272
complexity,sparse,3,5,1239,1,9.445194,9,295.487935,100.400801
complexity,sparse,3,6,1240,0,2.995593,7,288.272677,99.130989
complexity,sparse,3,7,1241,0,5.823062,7,297.203962,106.947632
complexity,sparse,3,8,1242,1,10.280440,6,294.624556,101.592677
complexity,sparse,3,9,1243,0,8.545468,6,230.432498,77.841181
complexity,medium,3,0,1234,0,8.008124,6,217.287540,74.233924
complexity,medium,3,1,1235,1,7.466404,6,252.104028,89.297599
complexity,medium,3,2,1236,1,3.670785,7,269.153876,93.299031
complexity,medium,3,3,1237,0,6.708151,6,263.031949,90.212411
complexity,medium,3,4,1238,0,11.799559,6,301.232604,110.330390
complexity,medium,3,5,1239,1,9.430237,5,270.027855,93.149783
complexity,medium,3,6,1240,1,17.867896,4,253.171587,95.491193
complexity,medium,3,7,1241,0,8.917677,8,313.581407,114.322323
complexity,medium,3,8,1242,0,7.366890,6,256.403613,96.751238
complexity,medium,3,9,1243,0,8.872574,6,281.946977,110.179108
complexity,narrow,3,0,1234,0,3.830625,4,252.799299,91.797606
complexity,narrow,3,1,1235,0,24.248633,6,312.717659,110.518106
complexity,narrow,3,2,1236,0,7.145235,5,259.467216,89.695467
complexity,narrow,3,3,1237,0,6.520101,8,292.875719,102.901644
complexity,narrow,3,4,1238,1,16.799960,5,287.447457,100.432728
complexity,narrow,3,5,1239,1,11.383469,6,296.639174,104.610325
complexity,narrow,3,6,1240,0,30.013628,0,,
complexity,narrow,3,7,1241,0,5.959765,6,289.018209,107.593838
complexity,narrow,3,8,1242,0,2.246800,8,218.045033,74.159292
complexity,narrow,3,9,1243,1,20.189348,5,274.883799,106.632830
complexity,cluttered,3,0,1234,1,3.680887,6,272.878140,96.058762
complexity,cluttered,3,1,1235,1,23.476055,6,284.157666,101.885493
complexity,cluttered,3,2,1236,1,6.700188,4,256.720952,92.948948
complexity,cluttered,3,3,1237,1,5.849792,7,288.047494,99.632574
complexity,cluttered,3,4,1238,1,3.278034,4,267.241720,92.257754
complexity,cluttered,3,5,1239,0,5.312671,6,298.752418,104.378462
complexity,cluttered,3,6,1240,0,12.643332,3,238.633465,86.049938
complexity,cluttered,3,7,1241,0,14.206609,5,280.754836,102.257150
complexity,cluttered,3,8,1242,0,9.362652,6,277.242037,98.521729
complexity,cluttered,3,9,1243,0,19.507785,8,326.663600,116.331930
