K,level,seed,success,time_sec,nodes,iterations,path_len_joint
2,0,0,1,0.03724551200866699,70,19,53.50702381134033
2,0,1,1,0.03724026679992676,102,12,53.1130895614624
2,0,2,1,0.05117630958557129,120,32,53.92280578613281
2,0,3,1,0.030427932739257812,74,6,53.19599628448486
2,0,4,1,0.04076838493347168,101,6,53.16111373901367
2,1,0,1,0.03560757637023926,70,19,53.50702381134033
2,1,1,1,0.07579970359802246,102,12,53.1130895614624
2,1,2,1,0.06151628494262695,120,32,53.92280578613281
2,1,3,1,0.03125429153442383,74,6,53.19599628448486
2,1,4,1,0.04189777374267578,101,6,53.16111373901367
2,2,0,1,0.07767105102539062,107,32,54.89746713638306
2,2,1,1,0.04622626304626465,102,12,53.1130895614624
2,2,2,1,0.06344795227050781,120,32,53.92280578613281
2,2,3,1,0.030104875564575195,74,6,53.19599628448486
2,2,4,1,0.031874656677246094,101,6,53.16111373901367
2,3,0,1,0.05929279327392578,107,32,54.89746713638306
2,3,1,1,0.03199911117553711,102,12,53.1130895614624
2,3,2,1,0.055568695068359375,120,32,53.92280578613281
2,3,3,1,0.0289151668548584,74,6,53.19599628448486
2,3,4,1,0.04773855209350586,101,6,53.16111373901367
2,4,0,1,0.07986807823181152,107,20,56.934767723083496
2,4,1,1,0.032733917236328125,67,12,53.38916873931885
2,4,2,0,120.00429224967957,9094,24103,nan
2,4,3,1,0.019646883010864258,58,5,53.23493146896362
2,4,4,1,0.01720452308654785,63,10,53.23510503768921
