K,level,seed,success,time_sec,nodes,iterations,path_len_joint
1,0,0,1,0.0,2,0,1.0
1,0,1,1,0.0,2,0,1.0
1,0,2,1,0.0,2,0,1.0
1,0,3,1,0.0,2,0,1.0
1,0,4,1,0.0,2,0,1.0
1,1,0,1,0.0,2,0,1.0
1,1,1,1,0.0,2,0,1.0
1,1,2,1,0.0,2,0,1.0
1,1,3,1,0.0,2,0,1.0
1,1,4,1,0.0,2,0,1.0
1,2,0,1,0.0,2,0,1.0
1,2,1,1,0.0,2,0,1.0
1,2,2,1,0.0,2,0,1.0
1,2,3,1,0.0,2,0,1.0
1,2,4,1,0.0,2,0,1.0
1,3,0,1,0.0,2,0,1.0
1,3,1,1,0.0,2,0,1.0
1,3,2,1,0.0,2,0,1.0
1,3,3,1,0.0,2,0,1.0
1,3,4,1,0.0,2,0,1.0
1,4,0,1,0.0,2,0,1.0
1,4,1,1,0.0,2,0,1.0
1,4,2,1,0.0,2,0,1.0
1,4,3,1,0.0,2,0,1.0
1,4,4,1,0.0,2,0,1.0
2,0,0,1,0.0,2,0,1.4142135381698608
2,0,1,1,0.0,2,0,1.4142135381698608
2,0,2,1,0.0,2,0,1.4142135381698608
2,0,3,1,0.0,2,0,1.4142135381698608
2,0,4,1,0.0,2,0,1.4142135381698608
2,1,0,1,0.0,2,0,1.4142135381698608
2,1,1,1,0.0,2,0,1.4142135381698608
2,1,2,1,0.0,2,0,1.4142135381698608
2,1,3,1,0.0,2,0,1.4142135381698608
2,1,4,1,0.0,2,0,1.4142135381698608
2,2,0,1,0.0,2,0,1.4142135381698608
2,2,1,1,0.0,2,0,1.4142135381698608
2,2,2,1,0.0,2,0,1.4142135381698608
2,2,3,1,0.0,2,0,1.4142135381698608
2,2,4,1,0.0,2,0,1.4142135381698608
2,3,0,1,0.0,2,0,1.4142135381698608
2,3,1,1,0.0,2,0,1.4142135381698608
2,3,2,1,0.0,2,0,1.4142135381698608
2,3,3,1,0.0,2,0,1.4142135381698608
2,3,4,1,0.0,2,0,1.4142135381698608
2,4,0,1,0.0,2,0,1.4142135381698608
2,4,1,1,0.0,2,0,1.4142135381698608
2,4,2,1,0.0,2,0,1.4142135381698608
2,4,3,1,0.0,2,0,1.4142135381698608
2,4,4,1,0.0,2,0,1.4142135381698608
3,0,0,1,0.0,2,0,1.7320507764816284
3,0,1,1,0.0,2,0,1.7320507764816284
3,0,2,1,0.0,2,0,1.7320507764816284
3,0,3,1,0.0,2,0,1.7320507764816284
3,0,4,1,0.0,2,0,1.7320507764816284
3,1,0,1,0.0,2,0,1.7320507764816284
3,1,1,1,0.0,2,0,1.7320507764816284
3,1,2,1,0.0,2,0,1.7320507764816284
3,1,3,1,0.0,2,0,1.7320507764816284
3,1,4,1,0.0,2,0,1.7320507764816284
3,2,0,1,0.0,2,0,1.7320507764816284
3,2,1,1,0.0,2,0,1.7320507764816284
3,2,2,1,0.0,2,0,1.7320507764816284
3,2,3,1,0.0,2,0,1.7320507764816284
3,2,4,1,0.0,2,0,1.7320507764816284
3,3,0,1,0.0,2,0,1.7320507764816284
3,3,1,1,0.0,2,0,1.7320507764816284
3,3,2,1,0.0,2,0,1.7320507764816284
3,3,3,1,0.0,2,0,1.7320507764816284
3,3,4,1,0.0,2,0,1.7320507764816284
3,4,0,1,0.0,2,0,1.7320507764816284
3,4,1,1,0.0,2,0,1.7320507764816284
3,4,2,1,0.0,2,0,1.7320507764816284
3,4,3,1,0.0,2,0,1.7320507764816284
3,4,4,1,0.0,2,0,1.7320507764816284
4,0,0,1,0.0,2,0,2.0
4,0,1,1,0.0,2,0,2.0
4,0,2,1,0.0,2,0,2.0
4,0,3,1,0.0,2,0,2.0
4,0,4,1,0.0,2,0,2.0
4,1,0,1,0.0,2,0,2.0
4,1,1,1,0.0,2,0,2.0
4,1,2,1,0.0,2,0,2.0
4,1,3,1,0.0,2,0,2.0
4,1,4,1,0.0,2,0,2.0
4,2,0,1,0.0,2,0,2.0
4,2,1,1,0.0,2,0,2.0
4,2,2,1,0.0,2,0,2.0
4,2,3,1,0.0,2,0,2.0
4,2,4,1,0.0,2,0,2.0
4,3,0,1,0.0,2,0,2.0
4,3,1,1,0.0,2,0,2.0
4,3,2,1,0.0,2,0,2.0
4,3,3,1,0.0,2,0,2.0
4,3,4,1,0.0,2,0,2.0
4,4,0,1,0.0,2,0,2.0
4,4,1,1,0.0,2,0,2.0
4,4,2,1,0.0,2,0,2.0
4,4,3,1,0.0,2,0,2.0
4,4,4,1,0.0,2,0,2.0
5,0,0,1,0.0,2,0,2.2360680103302
5,0,1,1,0.0,2,0,2.2360680103302
5,0,2,1,0.0,2,0,2.2360680103302
5,0,3,1,0.0,2,0,2.2360680103302
5,0,4,1,0.0,2,0,2.2360680103302
5,1,0,1,0.0,2,0,2.2360680103302
5,1,1,1,0.0,2,0,2.2360680103302
5,1,2,1,0.0,2,0,2.2360680103302
5,1,3,1,0.0,2,0,2.2360680103302
5,1,4,1,0.0,2,0,2.2360680103302
5,2,0,1,0.0,2,0,2.2360680103302
5,2,1,1,0.0,2,0,2.2360680103302
5,2,2,1,0.0,2,0,2.2360680103302
5,2,3,1,0.0,2,0,2.2360680103302
5,2,4,1,0.0,2,0,2.2360680103302
5,3,0,1,0.0,2,0,2.2360680103302
5,3,1,1,0.0,2,0,2.2360680103302
5,3,2,1,0.0,2,0,2.2360680103302
5,3,3,1,0.0,2,0,2.2360680103302
5,3,4,1,0.0,2,0,2.2360680103302
5,4,0,1,0.0,2,0,2.2360680103302
5,4,1,1,0.0,2,0,2.2360680103302
5,4,2,1,0.0,2,0,2.2360680103302
5,4,3,1,0.0,2,0,2.2360680103302
5,4,4,1,0.0,2,0,2.2360680103302
6,0,0,1,0.0,2,0,2.4494898319244385
6,0,1,1,0.0,2,0,2.4494898319244385
6,0,2,1,0.0,2,0,2.4494898319244385
6,0,3,1,0.0,2,0,2.4494898319244385
6,0,4,1,0.0,2,0,2.4494898319244385
6,1,0,1,0.0,2,0,2.4494898319244385
6,1,1,1,0.0,2,0,2.4494898319244385
6,1,2,1,0.0,2,0,2.4494898319244385
6,1,3,1,0.0,2,0,2.4494898319244385
6,1,4,1,0.0,2,0,2.4494898319244385
6,2,0,1,0.0,2,0,2.4494898319244385
6,2,1,1,0.0,2,0,2.4494898319244385
6,2,2,1,0.0,2,0,2.4494898319244385
6,2,3,1,0.0,2,0,2.4494898319244385
6,2,4,1,0.0,2,0,2.4494898319244385
6,3,0,1,0.0,2,0,2.4494898319244385
6,3,1,1,0.0,2,0,2.4494898319244385
6,3,2,1,0.0,2,0,2.4494898319244385
6,3,3,1,0.0,2,0,2.4494898319244385
6,3,4,1,0.0,2,0,2.4494898319244385
6,4,0,1,0.0,2,0,2.4494898319244385
6,4,1,1,0.0,2,0,2.4494898319244385
6,4,2,1,0.0,2,0,2.4494898319244385
6,4,3,1,0.0,2,0,2.4494898319244385
6,4,4,1,0.0,2,0,2.4494898319244385
7,0,0,1,0.0,2,0,2.6457512378692627
7,0,1,1,0.0,2,0,2.6457512378692627
7,0,2,1,0.0,2,0,2.6457512378692627
7,0,3,1,0.0,2,0,2.6457512378692627
7,0,4,1,0.0,2,0,2.6457512378692627
7,1,0,1,0.0,2,0,2.6457512378692627
7,1,1,1,0.0,2,0,2.6457512378692627
7,1,2,1,0.0,2,0,2.6457512378692627
7,1,3,1,0.0,2,0,2.6457512378692627
7,1,4,1,0.0,2,0,2.6457512378692627
