K,level,seed,success,time_sec,nodes,iterations,path_len_joint
1,4,0,1,0.0,2,0,1.0
1,4,1,1,0.0,2,0,1.0
1,4,2,1,0.0,2,0,1.0
1,4,3,1,0.0,2,0,1.0
1,4,4,1,0.0,2,0,1.0
2,4,0,1,0.0,2,0,1.4142135381698608
2,4,1,1,0.0,2,0,1.4142135381698608
2,4,2,1,0.0,2,0,1.4142135381698608
2,4,3,1,0.0,2,0,1.4142135381698608
2,4,4,1,0.0,2,0,1.4142135381698608
3,4,0,1,0.0,2,0,1.7320507764816284
3,4,1,1,0.0,2,0,1.7320507764816284
3,4,2,1,0.0,2,0,1.7320507764816284
3,4,3,1,0.0,2,0,1.7320507764816284
3,4,4,1,0.0,2,0,1.7320507764816284
4,4,0,1,0.0,2,0,2.0
4,4,1,1,0.0,2,0,2.0
4,4,2,1,0.0,2,0,2.0
4,4,3,1,0.0,2,0,2.0
4,4,4,1,0.0,2,0,2.0
5,4,0,1,0.0,2,0,2.2360680103302
5,4,1,1,0.0,2,0,2.2360680103302
5,4,2,1,0.0,2,0,2.2360680103302
5,4,3,1,0.0,2,0,2.2360680103302
5,4,4,1,0.0,2,0,2.2360680103302
6,4,0,1,0.0,2,0,2.4494898319244385
6,4,1,1,0.0,2,0,2.4494898319244385
6,4,2,1,0.0,2,0,2.4494898319244385
6,4,3,1,0.0,2,0,2.4494898319244385
6,4,4,1,0.0,2,0,2.4494898319244385
7,4,0,1,0.0,2,0,2.6457512378692627
7,4,1,1,0.0,2,0,2.6457512378692627
7,4,2,1,0.0,2,0,2.6457512378692627
7,4,3,1,0.0,2,0,2.6457512378692627
7,4,4,1,0.0,2,0,2.6457512378692627
8,4,0,1,0.0,2,0,2.8284270763397217
8,4,1,1,0.0,2,0,2.8284270763397217
8,4,2,1,0.0,2,0,2.8284270763397217
8,4,3,1,0.0,2,0,2.8284270763397217
8,4,4,1,0.0,2,0,2.8284270763397217
9,4,0,1,0.0,2,0,3.0
9,4,1,1,0.0,2,0,3.0
9,4,2,1,0.0,2,0,3.0
9,4,3,1,0.0,2,0,3.0
9,4,4,1,0.0,2,0,3.0
10,4,0,1,0.0,2,0,3.1622776985168457
10,4,1,1,0.0,2,0,3.1622776985168457
10,4,2,1,0.0,2,0,3.1622776985168457
10,4,3,1,0.0,2,0,3.1622776985168457
10,4,4,1,0.0,2,0,3.1622776985168457
11,4,0,1,0.0,2,0,3.316624879837036
11,4,1,1,0.0,2,0,3.316624879837036
11,4,2,1,0.0,2,0,3.316624879837036
11,4,3,1,0.0,2,0,3.316624879837036
11,4,4,1,0.0,2,0,3.316624879837036
12,4,0,1,0.0,2,0,3.464101552963257
12,4,1,1,0.0,2,0,3.464101552963257
12,4,2,1,0.0,2,0,3.464101552963257
12,4,3,1,0.0,2,0,3.464101552963257
12,4,4,1,0.0,2,0,3.464101552963257
